Thread,Schedule,Time
1,"static",210.760673
2,"static",158.139378
4,"static",92.418942
8,"static",50.065434
12,"static",43.519325
16,"static",38.325219
32,"static",33.000324
64,"static",29.731927
128,"static",28.528704
256,"static",28.757527
512,"static",31.344940
1024,"static",34.031584
1,"dynamic,16",211.142610
2,"dynamic,16",105.449845
4,"dynamic,16",52.806664
8,"dynamic,16",30.968063
12,"dynamic,16",28.183161
16,"dynamic,16",27.030361
32,"dynamic,16",27.419725
64,"dynamic,16",27.361916
128,"dynamic,16",27.816048
