Thread,Schedule,Time
1,"static",3.330837
2,"static",2.550303
4,"static",1.485050
8,"static",0.928746
12,"static",0.943545
16,"static",0.922352
32,"static",1.324208
64,"static",1.229599
128,"static",1.236062
256,"static",1.560020
512,"static",5.584975
1024,"static",12.978815
1,"dynamic",3.373074
2,"dynamic",1.663476
4,"dynamic",0.848503
8,"dynamic",0.516129
12,"dynamic",0.428711
16,"dynamic",0.401619
32,"dynamic",0.455733
64,"dynamic",0.574989
128,"dynamic",2.902415
256,"dynamic",4.957220
512,"dynamic",8.823051
1024,"dynamic",16.006550
1,"guided",3.326067
2,"guided",2.523908
4,"guided",1.488841
8,"guided",1.155183
12,"guided",1.243697
16,"guided",1.216104
32,"guided",0.538352
64,"guided",0.566849
128,"guided",2.847680
256,"guided",4.892744
512,"guided",8.662753
1024,"guided",17.692559
