Thread,Schedule,Time
1,"static",157.752772
2,"static",125.273841
4,"static",96.230768
8,"static",85.097363
12,"static",83.208803
16,"static",69.159412
32,"static",68.708420
64,"static",70.037653
128,"static",73.830883
256,"static",78.952157
1,"dynamic",156.582976
2,"dynamic",92.357875
4,"dynamic",81.127443
8,"dynamic",73.218433
12,"dynamic",71.363857
16,"dynamic",68.284263
32,"dynamic",72.160797
64,"dynamic",77.432316
128,"dynamic",83.981509
256,"dynamic",99.530481
1,"guided",156.290979
2,"guided",125.050909
4,"guided",97.208962
8,"guided",82.391915
12,"guided",79.768814
16,"guided",69.514506
32,"guided",70.536337
64,"guided",72.762152
128,"guided",78.266197
256,"guided",89.518570
