Thread,Schedule,Time
1,"static",100.810328
2,"static",81.909307
4,"static",61.687725
8,"static",56.781099
12,"static",54.739015
16,"static",43.725168
32,"static",40.921576
64,"static",40.354439
128,"static",41.443371
256,"static",43.963993
1,"dynamic",101.081100
2,"dynamic",59.651369
4,"dynamic",51.111575
8,"dynamic",44.177116
12,"dynamic",40.946861
16,"dynamic",38.610281
32,"dynamic",39.141501
64,"dynamic",40.100451
128,"dynamic",42.098578
256,"dynamic",47.982017
1,"guided",101.172487
2,"guided",82.284827
4,"guided",64.070218
8,"guided",54.896828
12,"guided",54.324658
16,"guided",42.887956
32,"guided",41.026246
64,"guided",40.739291
128,"guided",41.725542
256,"guided",45.869508
