Thread,Schedule,Time
1,"static",175.746091
2,"static",134.233357
4,"static",85.699009
8,"static",58.532159
12,"static",60.388544
16,"static",63.124706
32,"static",69.688917
64,"static",65.325623
128,"static",59.709691
256,"static",56.378451
1,"dynamic",174.619262
2,"dynamic",95.226962
4,"dynamic",55.963443
8,"dynamic",54.533856
12,"dynamic",52.186252
16,"dynamic",53.167868
32,"dynamic",54.722348
64,"dynamic",57.225663
128,"dynamic",60.976645
256,"dynamic",67.845554
1,"guided",173.700745
2,"guided",134.214477
4,"guided",85.753805
8,"guided",58.807960
12,"guided",62.332658
16,"guided",65.318897
32,"guided",65.765369
64,"guided",63.502775
128,"guided",59.036021
256,"guided",55.885511
