Thread,Schedule,Time
1,"static",52.755837
2,"static",39.645788
4,"static",23.162947
8,"static",12.684474
12,"static",13.242582
16,"static",11.994577
32,"static",9.112689
64,"static",7.754327
128,"static",7.511673
256,"static",7.979104
512,"static",9.265787
1024,"static",11.196711
1,"dynamic",52.720563
2,"dynamic",26.401235
4,"dynamic",13.244221
8,"dynamic",7.744114
12,"dynamic",6.230093
16,"dynamic",5.685535
32,"dynamic",6.406710
64,"dynamic",6.787884
128,"dynamic",7.009168
256,"dynamic",8.533419
512,"dynamic",19.472832
1024,"dynamic",45.091910
1,"guided",52.722970
2,"guided",39.675049
4,"guided",23.239864
8,"guided",13.878285
12,"guided",12.408514
16,"guided",12.087280
32,"guided",7.404217
64,"guided",6.402023
128,"guided",6.180231
256,"guided",8.375943
512,"guided",19.526789
1024,"guided",45.439924
