Thread,Schedule,Time
1,"static",58.589229
2,"static",47.307544
4,"static",37.649478
8,"static",39.189402
12,"static",37.203421
16,"static",26.158172
32,"static",24.872235
64,"static",25.287814
128,"static",27.221543
256,"static",30.651431
1,"dynamic",58.751002
2,"dynamic",33.426174
4,"dynamic",29.750600
8,"dynamic",27.193877
12,"dynamic",26.847299
16,"dynamic",23.516770
32,"dynamic",24.707310
64,"dynamic",27.620268
128,"dynamic",31.341466
256,"dynamic",40.073543
1,"guided",58.205305
2,"guided",47.500378
4,"guided",37.123631
8,"guided",35.681138
12,"guided",33.820456
16,"guided",25.328078
32,"guided",24.860863
64,"guided",25.929660
128,"guided",28.552093
256,"guided",37.725136
