Thread,Schedule,Time
1,"static",7.311699
2,"static",6.546375
4,"static",8.092445
8,"static",8.862479
12,"static",8.223992
16,"static",4.254485
32,"static",4.356732
64,"static",4.696494
128,"static",5.669526
256,"static",8.788219
1,"dynamic",7.142168
2,"dynamic",4.564599
4,"dynamic",4.350168
8,"dynamic",4.300935
12,"dynamic",4.897997
16,"dynamic",3.910352
32,"dynamic",4.219126
64,"dynamic",5.059321
128,"dynamic",6.689480
256,"dynamic",10.088523
1,"guided",7.099985
2,"guided",6.069451
4,"guided",6.390987
8,"guided",6.291483
12,"guided",5.751496
16,"guided",4.101650
32,"guided",4.217666
64,"guided",5.109018
128,"guided",6.697373
256,"guided",10.392634
