Thread,Schedule,Time
1,"static",24.147494
2,"static",19.169912
4,"static",17.563938
8,"static",19.308672
12,"static",18.249157
16,"static",10.000948
32,"static",9.542891
64,"static",9.925185
128,"static",10.933428
256,"static",13.398124
1,"dynamic",24.209292
2,"dynamic",13.437799
4,"dynamic",10.964111
8,"dynamic",9.271343
12,"dynamic",8.967445
16,"dynamic",8.586660
32,"dynamic",8.746562
64,"dynamic",9.662561
128,"dynamic",12.139173
256,"dynamic",16.855679
1,"guided",24.031817
2,"guided",19.251904
4,"guided",15.403161
8,"guided",15.061319
12,"guided",12.061043
16,"guided",9.568427
32,"guided",9.375294
64,"guided",9.597758
128,"guided",11.837775
256,"guided",16.563956
