Thread,Schedule,Time
1,"static",118.579516
2,"static",89.005172
4,"static",54.676214
8,"static",29.468326
12,"static",26.060831
16,"static",23.706220
32,"static",18.371853
64,"static",17.045185
128,"static",16.650779
256,"static",17.085949
512,"static",17.814709
1024,"static",19.997874
1,"dynamic",118.565890
2,"dynamic",59.335980
4,"dynamic",29.733624
8,"dynamic",17.334683
12,"dynamic",15.010549
16,"dynamic",15.209917
32,"dynamic",15.212810
64,"dynamic",15.536662
128,"dynamic",15.992790
256,"dynamic",17.706427
512,"dynamic",26.969470
1024,"dynamic",55.616626
1,"guided",118.568811
2,"guided",88.985529
4,"guided",52.049744
8,"guided",29.372495
12,"guided",22.463181
16,"guided",22.120616
32,"guided",17.285114
64,"guided",16.842078
128,"guided",16.051382
256,"guided",16.689700
512,"guided",27.700596
1024,"guided",55.802336
