Thread,Schedule,Time
1,"static",155.927629
2,"static",125.451955
4,"static",97.179496
8,"static",85.000081
12,"static",81.119008
16,"static",67.096706
32,"static",63.492699
64,"static",63.031880
128,"static",63.673947
256,"static",66.327791
1,"dynamic",155.696898
2,"dynamic",91.081360
4,"dynamic",79.345914
8,"dynamic",68.821997
12,"dynamic",63.205081
16,"dynamic",60.207828
32,"dynamic",61.303339
64,"dynamic",62.953807
128,"dynamic",64.786512
256,"dynamic",69.525984
1,"guided",155.973262
2,"guided",125.043500
4,"guided",97.600338
8,"guided",82.741524
12,"guided",79.194380
16,"guided",66.037791
32,"guided",63.524893
64,"guided",63.168127
128,"guided",63.831317
256,"guided",67.765433
