Thread,Schedule,Time
1,"static",12.216619
2,"static",10.224085
4,"static",7.080899
8,"static",7.229977
12,"static",6.119641
16,"static",4.367907
32,"static",4.205091
64,"static",4.591482
128,"static",5.724246
256,"static",8.052383
512,"static",12.694995
1024,"static",22.865107
1,"dynamic,16",12.214751
2,"dynamic,16",6.689857
4,"dynamic,16",4.898038
8,"dynamic,16",4.023507
12,"dynamic,16",3.612905
16,"dynamic,16",3.870278
32,"dynamic,16",4.036623
64,"dynamic,16",4.854795
128,"dynamic,16",6.686368
256,"dynamic,16",10.144964
512,"dynamic,16",17.266881
1024,"dynamic,16",31.750919
1,"guided",12.422596
2,"guided",9.944956
4,"guided",6.593048
8,"guided",5.683816
12,"guided",4.480996
16,"guided",3.910943
32,"guided",3.933488
64,"guided",4.783293
128,"guided",6.795871
256,"guided",10.263053
512,"guided",17.565470
1024,"guided",32.127184
