Thread,Schedule,Time
1,"static",3.330837
2,"static",2.550303
4,"static",1.485050
8,"static",0.928746
12,"static",0.943545
16,"static",0.922352
32,"static",1.324208
64,"static",1.229599
128,"static",1.236062
256,"static",1.560020
512,"static",5.584975
1024,"static",12.978815
1,"dynamic,16",3.373074
2,"dynamic,16",1.663476
4,"dynamic,16",0.848503
8,"dynamic,16",0.516129
12,"dynamic,16",0.428711
16,"dynamic,16",0.401619
32,"dynamic,16",0.455733
64,"dynamic,16",0.574989
128,"dynamic,16",2.902415
256,"dynamic,16",4.957220
512,"dynamic,16",8.823051
1024,"dynamic,16",16.006550
1,"guided,16",3.326067
2,"guided,16",2.523908
4,"guided,16",1.488841
8,"guided,16",1.155183
12,"guided,16",1.243697
16,"guided,16",1.216104
32,"guided,16",0.538352
64,"guided,16",0.566849
128,"guided,16",2.847680
256,"guided,16",4.892744
512,"guided,16",8.662753
1024,"guided,16",17.692559
