Thread,Schedule,Run,Time
1,static,1,0.760806
1,static,2,0.789338
1,static,3,0.897602
1,static,4,0.812311
1,static,5,0.791718
2,static,1,0.467425
2,static,2,0.531911
2,static,3,0.482296
2,static,4,0.494565
2,static,5,0.479510
4,static,1,1.028800
4,static,2,1.036896
4,static,3,1.046917
4,static,4,1.017163
4,static,5,1.025120
8,static,1,0.582889
8,static,2,0.587742
8,static,3,0.597105
8,static,4,0.598285
8,static,5,0.631315
12,static,1,0.760543
12,static,2,0.792170
12,static,3,0.673227
12,static,4,0.847328
12,static,5,0.695400
16,static,1,0.738734
16,static,2,0.746526
16,static,3,0.778886
16,static,4,0.825722
16,static,5,0.785546
20,static,1,0.927041
20,static,2,0.901733
20,static,3,0.878612
20,static,4,0.924748
20,static,5,0.920294
24,static,1,0.963240
24,static,2,0.938521
24,static,3,0.931212
24,static,4,0.960546
24,static,5,0.947169
28,static,1,1.052653
28,static,2,1.037241
28,static,3,1.008791
28,static,4,1.008591
28,static,5,1.038679
32,static,1,1.084074
32,static,2,1.217730
32,static,3,1.101021
32,static,4,1.098933
32,static,5,1.163816
1,dynamic,1,0.918335
1,dynamic,2,0.918453
1,dynamic,3,0.892252
1,dynamic,4,0.858079
1,dynamic,5,0.840016
2,dynamic,1,0.473351
2,dynamic,2,0.511032
2,dynamic,3,0.480078
2,dynamic,4,0.497125
2,dynamic,5,0.457808
4,dynamic,1,0.427835
4,dynamic,2,0.428068
4,dynamic,3,0.495625
4,dynamic,4,0.430942
4,dynamic,5,0.405168
8,dynamic,1,0.426832
8,dynamic,2,0.332115
8,dynamic,3,0.349607
8,dynamic,4,0.366384
8,dynamic,5,0.344533
12,dynamic,1,0.561471
12,dynamic,2,0.529489
12,dynamic,3,0.642267
12,dynamic,4,0.634145
12,dynamic,5,0.526125
16,dynamic,1,0.667693
16,dynamic,2,0.670575
16,dynamic,3,0.665388
16,dynamic,4,0.668953
16,dynamic,5,0.650686
20,dynamic,1,0.740148
20,dynamic,2,0.729696
20,dynamic,3,0.710036
20,dynamic,4,0.726974
20,dynamic,5,0.727983
24,dynamic,1,0.802014
24,dynamic,2,0.790519
24,dynamic,3,0.790752
24,dynamic,4,0.796093
24,dynamic,5,0.800059
28,dynamic,1,0.877787
28,dynamic,2,0.838662
28,dynamic,3,0.900020
28,dynamic,4,0.872650
28,dynamic,5,0.910138
32,dynamic,1,1.088866
32,dynamic,2,1.026512
32,dynamic,3,0.933207
32,dynamic,4,0.929235
32,dynamic,5,0.928967
1,guided,1,0.803475
1,guided,2,0.786438
1,guided,3,0.790144
1,guided,4,0.784442
1,guided,5,0.770853
2,guided,1,0.482221
2,guided,2,0.529633
2,guided,3,0.520853
2,guided,4,0.556682
2,guided,5,0.477062
4,guided,1,0.845477
4,guided,2,0.793287
4,guided,3,0.805094
4,guided,4,0.800164
4,guided,5,0.814231
8,guided,1,0.523703
8,guided,2,0.506697
8,guided,3,0.552505
8,guided,4,0.535880
8,guided,5,0.534199
12,guided,1,0.719518
12,guided,2,0.615251
12,guided,3,0.645736
12,guided,4,0.900821
12,guided,5,0.595586
16,guided,1,0.663943
16,guided,2,0.685954
16,guided,3,0.651748
16,guided,4,0.681149
16,guided,5,0.699839
20,guided,1,0.691349
20,guided,2,0.750611
20,guided,3,0.732798
20,guided,4,0.699027
20,guided,5,0.709322
24,guided,1,0.797579
24,guided,2,0.834419
24,guided,3,0.850717
24,guided,4,0.844999
24,guided,5,0.869979
28,guided,1,0.906691
28,guided,2,0.937196
28,guided,3,0.935464
28,guided,4,0.868464
28,guided,5,0.850549
32,guided,1,0.928061
32,guided,2,0.934968
32,guided,3,0.945417
32,guided,4,0.981753
32,guided,5,0.930895
