Thread,Schedule,Time
1,"static",52.755837
2,"static",39.645788
4,"static",23.162947
8,"static",12.684474
12,"static",13.242582
16,"static",11.994577
32,"static",9.112689
64,"static",7.754327
128,"static",7.511673
256,"static",7.979104
512,"static",9.265787
1024,"static",11.196711
1,"dynamic,16",52.720563
2,"dynamic,16",26.401235
4,"dynamic,16",13.244221
8,"dynamic,16",7.744114
12,"dynamic,16",6.230093
16,"dynamic,16",5.685535
32,"dynamic,16",6.406710
64,"dynamic,16",6.787884
128,"dynamic,16",7.009168
256,"dynamic,16",8.533419
512,"dynamic,16",19.472832
1024,"dynamic,16",45.091910
1,"guided,16",52.722970
2,"guided,16",39.675049
4,"guided,16",23.239864
8,"guided,16",13.878285
12,"guided,16",12.408514
16,"guided,16",12.087280
32,"guided,16",7.404217
64,"guided,16",6.402023
128,"guided,16",6.180231
256,"guided,16",8.375943
512,"guided,16",19.526789
1024,"guided,16",45.439924
