Thread,Schedule,Run,Time
1,static,1,51.021411
1,static,2,51.642780
1,static,3,49.557844
1,static,4,50.303715
1,static,5,50.054258
2,static,1,32.224696
2,static,2,30.921733
2,static,3,34.541299
2,static,4,34.450386
2,static,5,35.344256
4,static,1,33.303095
4,static,2,33.655562
4,static,3,33.021690
4,static,4,33.696559
4,static,5,33.399545
8,static,1,31.181757
8,static,2,30.780603
8,static,3,30.525567
8,static,4,30.652374
8,static,5,30.979748
12,static,1,28.692621
12,static,2,29.127573
12,static,3,29.210526
12,static,4,29.165756
12,static,5,28.720044
16,static,1,21.333124
16,static,2,21.248262
16,static,3,21.356378
16,static,4,21.026688
16,static,5,21.093011
20,static,1,21.643838
20,static,2,21.230201
20,static,3,21.392211
20,static,4,21.550072
20,static,5,21.159038
24,static,1,21.016688
24,static,2,21.741409
24,static,3,20.914402
24,static,4,21.357844
24,static,5,21.954891
28,static,1,20.729801
28,static,2,21.105953
28,static,3,21.897345
28,static,4,20.651887
28,static,5,21.558790
32,static,1,22.123166
32,static,2,20.859526
32,static,3,21.332069
32,static,4,21.903466
32,static,5,21.461950
1,dynamic,1,52.016614
1,dynamic,2,50.939498
1,dynamic,3,49.742829
1,dynamic,4,50.285318
1,dynamic,5,52.071559
2,dynamic,1,32.455400
2,dynamic,2,31.408410
2,dynamic,3,31.644591
2,dynamic,4,30.707595
2,dynamic,5,31.851626
4,dynamic,1,26.026540
4,dynamic,2,25.838523
4,dynamic,3,26.170690
4,dynamic,4,26.081705
4,dynamic,5,26.205739
8,dynamic,1,22.171100
8,dynamic,2,21.787049
8,dynamic,3,22.076183
8,dynamic,4,21.910513
8,dynamic,5,21.862070
12,dynamic,1,21.082241
12,dynamic,2,20.638416
12,dynamic,3,20.349062
12,dynamic,4,21.319344
12,dynamic,5,20.278636
16,dynamic,1,20.165880
16,dynamic,2,20.763946
16,dynamic,3,20.133959
16,dynamic,4,20.304376
16,dynamic,5,25.522650
20,dynamic,1,20.774773
20,dynamic,2,20.152691
20,dynamic,3,21.163095
20,dynamic,4,20.039237
20,dynamic,5,20.392270
24,dynamic,1,21.062142
24,dynamic,2,20.397070
24,dynamic,3,20.902320
24,dynamic,4,19.978097
24,dynamic,5,20.539317
28,dynamic,1,19.969205
28,dynamic,2,20.185024
28,dynamic,3,20.744180
28,dynamic,4,19.751223
28,dynamic,5,20.636591
32,dynamic,1,20.410494
32,dynamic,2,19.619113
32,dynamic,3,20.573941
32,dynamic,4,20.323067
32,dynamic,5,19.999122
1,guided,1,59.238870
1,guided,2,50.986170
1,guided,3,51.326518
1,guided,4,50.743521
1,guided,5,50.569245
2,guided,1,30.562231
2,guided,2,31.251287
2,guided,3,30.671219
2,guided,4,32.273109
2,guided,5,30.815452
4,guided,1,29.315212
4,guided,2,28.683699
4,guided,3,28.977043
4,guided,4,28.957625
4,guided,5,28.648429
8,guided,1,26.313501
8,guided,2,26.199974
8,guided,3,25.888232
8,guided,4,26.113569
8,guided,5,26.056970
12,guided,1,24.461137
12,guided,2,23.957157
12,guided,3,25.071354
12,guided,4,24.903895
12,guided,5,24.765691
16,guided,1,20.769031
16,guided,2,21.009305
16,guided,3,20.746333
16,guided,4,20.622150
16,guided,5,20.930866
20,guided,1,20.438122
20,guided,2,21.383849
20,guided,3,20.868584
20,guided,4,20.641815
20,guided,5,20.905819
24,guided,1,20.461242
24,guided,2,20.400348
24,guided,3,20.512893
24,guided,4,20.885778
24,guided,5,20.964420
28,guided,1,20.517199
28,guided,2,20.306230
28,guided,3,20.950279
28,guided,4,21.049208
28,guided,5,20.081143
32,guided,1,21.130432
32,guided,2,20.812131
32,guided,3,20.366040
32,guided,4,20.833516
32,guided,5,20.696372
