Thread,Schedule,Time
1,"static",0.721973
2,"static",0.613059
4,"static",0.532910
8,"static",0.472092
12,"static",0.346857
16,"static",0.737856
32,"static",1.077215
64,"static",1.622530
128,"static",2.998655
256,"static",5.714101
512,"static",11.077178
1024,"static",21.404023
1,"dynamic,16",0.730788
2,"dynamic,16",0.471153
4,"dynamic,16",0.317540
8,"dynamic,16",0.259020
12,"dynamic,16",0.360278
16,"dynamic,16",0.641858
32,"dynamic,16",0.991793
64,"dynamic,16",1.604997
128,"dynamic,16",2.741999
256,"dynamic,16",5.030167
512,"dynamic,16",9.617940
1024,"dynamic,16",19.772640
1,"guided",0.755939
2,"guided",0.629610
4,"guided",0.408522
8,"guided",0.396515
12,"guided",0.385372
16,"guided",0.682193
32,"guided",0.957989
64,"guided",1.597171
128,"guided",2.734514
256,"guided",5.032297
512,"guided",9.654472
1024,"guided",19.713280
