Thread,Schedule,Time
1,"static",49.114862
2,"static",39.940358
4,"static",26.811332
8,"static",23.471828
12,"static",20.371698
16,"static",15.656395
32,"static",14.239035
64,"static",14.481930
128,"static",15.508441
256,"static",18.201538
512,"static",22.935728
1024,"static",33.102907
1,"dynamic,16",49.218899
2,"dynamic,16",27.187821
4,"dynamic,16",19.779221
8,"dynamic,16",15.022413
12,"dynamic,16",13.188159
16,"dynamic,16",13.275180
32,"dynamic,16",13.454858
64,"dynamic,16",13.763338
128,"dynamic,16",15.581116
256,"dynamic,16",20.541875
512,"dynamic,16",29.258488
1024,"dynamic,16",47.737104
1,"guided",49.434363
2,"guided",39.977722
4,"guided",25.850055
8,"guided",20.070471
12,"guided",17.536255
16,"guided",15.003655
32,"guided",14.354618
64,"guided",14.477575
128,"guided",14.910217
256,"guided",20.211789
512,"guided",29.162998
1024,"guided",47.753994
