Thread,Schedule,Run,Time
1,static,1,100.118947
1,static,2,101.934487
1,static,3,102.446226
1,static,4,102.051112
1,static,5,102.021047
2,static,1,62.487089
2,static,2,61.523578
2,static,3,62.292950
2,static,4,62.413119
2,static,5,62.032381
4,static,1,58.575963
4,static,2,57.871305
4,static,3,58.152809
4,static,4,58.307311
4,static,5,58.324342
8,static,1,52.888656
8,static,2,53.079703
8,static,3,53.208623
8,static,4,53.185830
8,static,5,52.550652
12,static,1,50.745295
12,static,2,50.329727
12,static,3,50.529346
12,static,4,50.215864
12,static,5,50.463515
16,static,1,42.430112
16,static,2,42.663068
16,static,3,42.637527
16,static,4,42.364919
16,static,5,42.486540
20,static,1,42.536087
20,static,2,41.803038
20,static,3,42.406395
20,static,4,42.375019
20,static,5,42.361315
24,static,1,41.498270
24,static,2,41.986812
24,static,3,42.329197
24,static,4,41.393502
24,static,5,41.799357
28,static,1,42.098067
28,static,2,41.409649
28,static,3,41.706748
28,static,4,50.883423
28,static,5,41.680826
32,static,1,41.667632
32,static,2,42.304911
32,static,3,41.950213
32,static,4,41.013206
32,static,5,42.728596
1,dynamic,1,102.825400
1,dynamic,2,101.885506
1,dynamic,3,103.727413
1,dynamic,4,103.224874
1,dynamic,5,102.080282
2,dynamic,1,62.302215
2,dynamic,2,62.106589
2,dynamic,3,62.402950
2,dynamic,4,61.774828
2,dynamic,5,61.616575
4,dynamic,1,52.316205
4,dynamic,2,52.388452
4,dynamic,3,52.416694
4,dynamic,4,52.307019
4,dynamic,5,52.021550
8,dynamic,1,44.544055
8,dynamic,2,44.396420
8,dynamic,3,44.070496
8,dynamic,4,44.717137
8,dynamic,5,44.222653
12,dynamic,1,40.577811
12,dynamic,2,40.158121
12,dynamic,3,40.280731
12,dynamic,4,40.200677
12,dynamic,5,40.279215
16,dynamic,1,40.886077
16,dynamic,2,40.407820
16,dynamic,3,40.360830
16,dynamic,4,40.709167
16,dynamic,5,40.393367
20,dynamic,1,40.166264
20,dynamic,2,40.665066
20,dynamic,3,40.522423
20,dynamic,4,40.758835
20,dynamic,5,40.202557
24,dynamic,1,40.954934
24,dynamic,2,40.582042
24,dynamic,3,40.698294
24,dynamic,4,40.718512
24,dynamic,5,40.295679
28,dynamic,1,40.792805
28,dynamic,2,40.339617
28,dynamic,3,40.248182
28,dynamic,4,40.490506
28,dynamic,5,40.884525
32,dynamic,1,40.760155
32,dynamic,2,40.350913
32,dynamic,3,40.155044
32,dynamic,4,40.512605
32,dynamic,5,40.781100
1,guided,1,101.423766
1,guided,2,101.318770
1,guided,3,101.828060
1,guided,4,102.014944
1,guided,5,101.272855
2,guided,1,61.563741
2,guided,2,60.811706
2,guided,3,61.998865
2,guided,4,61.205763
2,guided,5,61.187402
4,guided,1,55.760319
4,guided,2,54.826364
4,guided,3,55.957264
4,guided,4,57.610932
4,guided,5,57.814606
8,guided,1,51.249607
8,guided,2,50.757941
8,guided,3,50.776849
8,guided,4,50.869317
8,guided,5,50.602684
12,guided,1,47.039879
12,guided,2,49.134521
12,guided,3,49.305579
12,guided,4,49.449110
12,guided,5,47.057329
16,guided,1,44.834056
16,guided,2,44.366327
16,guided,3,44.586145
16,guided,4,44.246765
16,guided,5,44.295364
20,guided,1,44.208149
20,guided,2,43.565986
20,guided,3,44.128583
20,guided,4,44.723703
20,guided,5,42.193708
24,guided,1,44.203230
24,guided,2,44.812208
24,guided,3,47.782274
24,guided,4,45.827952
24,guided,5,43.866302
28,guided,1,44.262079
28,guided,2,44.496292
28,guided,3,44.252304
28,guided,4,45.450296
28,guided,5,44.612977
32,guided,1,44.606237
32,guided,2,44.223907
32,guided,3,44.642475
32,guided,4,44.799600
32,guided,5,44.367693
