Thread,Schedule,Run,Time
1,static,1,12.495820
1,static,2,12.694070
1,static,3,13.292664
1,static,4,13.383578
1,static,5,12.416594
2,static,1,7.994683
2,static,2,8.092757
2,static,3,7.986710
2,static,4,7.950242
2,static,5,8.788278
4,static,1,10.871377
4,static,2,11.294113
4,static,3,10.979951
4,static,4,10.974067
4,static,5,11.003493
8,static,1,10.525857
8,static,2,9.737469
8,static,3,9.742475
8,static,4,9.680787
8,static,5,9.747484
12,static,1,8.440031
12,static,2,8.872408
12,static,3,8.379340
12,static,4,8.103150
12,static,5,8.119597
16,static,1,5.708599
16,static,2,5.755046
16,static,3,5.772551
16,static,4,5.869387
16,static,5,5.840710
20,static,1,6.034928
20,static,2,6.185322
20,static,3,6.011463
20,static,4,6.165313
20,static,5,6.041870
24,static,1,5.999505
24,static,2,5.929414
24,static,3,6.044371
24,static,4,6.170837
24,static,5,6.111009
28,static,1,5.820290
28,static,2,6.193884
28,static,3,6.812286
28,static,4,6.277727
28,static,5,6.478331
32,static,1,5.915796
32,static,2,5.862890
32,static,3,5.986099
32,static,4,6.567638
32,static,5,6.609242
1,dynamic,1,12.805144
1,dynamic,2,12.467652
1,dynamic,3,12.994963
1,dynamic,4,13.790870
1,dynamic,5,15.289118
2,dynamic,1,9.401135
2,dynamic,2,9.289499
2,dynamic,3,10.249021
2,dynamic,4,9.993191
2,dynamic,5,8.567811
4,dynamic,1,7.624443
4,dynamic,2,7.864722
4,dynamic,3,7.016043
4,dynamic,4,7.403796
4,dynamic,5,7.247114
8,dynamic,1,6.710988
8,dynamic,2,6.011439
8,dynamic,3,5.826509
8,dynamic,4,5.962069
8,dynamic,5,6.231425
12,dynamic,1,6.870843
12,dynamic,2,6.921803
12,dynamic,3,6.064913
12,dynamic,4,6.147495
12,dynamic,5,6.331212
16,dynamic,1,6.208676
16,dynamic,2,5.897928
16,dynamic,3,5.882582
16,dynamic,4,5.761587
16,dynamic,5,5.953977
20,dynamic,1,6.291894
20,dynamic,2,6.256146
20,dynamic,3,5.722706
20,dynamic,4,5.648068
20,dynamic,5,5.707132
24,dynamic,1,6.078002
24,dynamic,2,5.701029
24,dynamic,3,5.629886
24,dynamic,4,5.699086
24,dynamic,5,5.453339
28,dynamic,1,5.616946
28,dynamic,2,5.801665
28,dynamic,3,5.527310
28,dynamic,4,5.416409
28,dynamic,5,5.406796
32,dynamic,1,5.425761
32,dynamic,2,5.506971
32,dynamic,3,5.465759
32,dynamic,4,5.541364
32,dynamic,5,5.492365
1,guided,1,12.452916
1,guided,2,13.147003
1,guided,3,12.374456
1,guided,4,12.388794
1,guided,5,12.666712
2,guided,1,8.004329
2,guided,2,8.215851
2,guided,3,8.020762
2,guided,4,7.613319
2,guided,5,7.734088
4,guided,1,9.322254
4,guided,2,9.258387
4,guided,3,9.408692
4,guided,4,9.197167
4,guided,5,9.326043
8,guided,1,7.830568
8,guided,2,7.984548
8,guided,3,7.814385
8,guided,4,7.817009
8,guided,5,7.820506
12,guided,1,6.879586
12,guided,2,7.925460
12,guided,3,6.667387
12,guided,4,6.920500
12,guided,5,6.970694
16,guided,1,5.457432
16,guided,2,5.391613
16,guided,3,5.484842
16,guided,4,5.514573
16,guided,5,5.503854
20,guided,1,5.599431
20,guided,2,5.685386
20,guided,3,5.642625
20,guided,4,5.704559
20,guided,5,5.966789
24,guided,1,5.647334
24,guided,2,5.564753
24,guided,3,5.524427
24,guided,4,5.561928
24,guided,5,5.773195
28,guided,1,5.606257
28,guided,2,5.564012
28,guided,3,5.897715
28,guided,4,5.696122
28,guided,5,6.106246
32,guided,1,5.608038
32,guided,2,5.595991
32,guided,3,5.675664
32,guided,4,5.551214
32,guided,5,5.619542
