Thread,Schedule,Run,Time
1,static,1,3.572352
1,static,2,3.290773
1,static,3,3.441799
1,static,4,3.385332
1,static,5,3.521192
2,static,1,2.446341
2,static,2,2.413468
2,static,3,2.271935
2,static,4,2.308171
2,static,5,2.450227
4,static,1,4.540940
4,static,2,4.318633
4,static,3,4.513138
4,static,4,4.524291
4,static,5,4.568631
8,static,1,2.787311
8,static,2,2.887221
8,static,3,2.762930
8,static,4,2.882277
8,static,5,2.760317
12,static,1,4.455543
12,static,2,6.252792
12,static,3,3.214114
12,static,4,2.781467
12,static,5,3.029195
16,static,1,1.843550
16,static,2,1.939029
16,static,3,1.865408
16,static,4,1.896840
16,static,5,1.906154
20,static,1,1.984368
20,static,2,2.159997
20,static,3,1.949919
20,static,4,1.963942
20,static,5,1.990681
24,static,1,2.027918
24,static,2,2.152583
24,static,3,2.086159
24,static,4,2.073173
24,static,5,2.024774
28,static,1,2.166454
28,static,2,2.196054
28,static,3,2.099926
28,static,4,2.084083
28,static,5,2.093400
32,static,1,2.151564
32,static,2,2.206993
32,static,3,2.018478
32,static,4,2.125075
32,static,5,2.108185
1,dynamic,1,3.294943
1,dynamic,2,3.195469
1,dynamic,3,3.201223
1,dynamic,4,3.244603
1,dynamic,5,3.377543
2,dynamic,1,2.071660
2,dynamic,2,2.031276
2,dynamic,3,2.086465
2,dynamic,4,2.287815
2,dynamic,5,2.246778
4,dynamic,1,1.578484
4,dynamic,2,1.586964
4,dynamic,3,1.551953
4,dynamic,4,1.551975
4,dynamic,5,1.532387
8,dynamic,1,1.345085
8,dynamic,2,1.417090
8,dynamic,3,1.328303
8,dynamic,4,1.320561
8,dynamic,5,1.346519
12,dynamic,1,1.841563
12,dynamic,2,2.683309
12,dynamic,3,2.059668
12,dynamic,4,2.067181
12,dynamic,5,2.573776
16,dynamic,1,1.744803
16,dynamic,2,1.716459
16,dynamic,3,1.731600
16,dynamic,4,1.598722
16,dynamic,5,1.618849
20,dynamic,1,1.616014
20,dynamic,2,1.698364
20,dynamic,3,1.611844
20,dynamic,4,1.664782
20,dynamic,5,1.645781
24,dynamic,1,1.678927
24,dynamic,2,1.747874
24,dynamic,3,1.810663
24,dynamic,4,1.804871
24,dynamic,5,1.788295
28,dynamic,1,1.889745
28,dynamic,2,1.871544
28,dynamic,3,2.208967
28,dynamic,4,2.216827
28,dynamic,5,2.114483
32,dynamic,1,1.897804
32,dynamic,2,1.825981
32,dynamic,3,1.818228
32,dynamic,4,1.870263
32,dynamic,5,1.801146
1,guided,1,3.074857
1,guided,2,2.978815
1,guided,3,3.115836
1,guided,4,3.222843
1,guided,5,3.163507
2,guided,1,2.128773
2,guided,2,2.156389
2,guided,3,2.100179
2,guided,4,2.045814
2,guided,5,2.286334
4,guided,1,3.067035
4,guided,2,3.063831
4,guided,3,3.072365
4,guided,4,3.097417
4,guided,5,3.192399
8,guided,1,2.171180
8,guided,2,2.231285
8,guided,3,2.224179
8,guided,4,2.205100
8,guided,5,2.186990
12,guided,1,2.412135
12,guided,2,2.362779
12,guided,3,2.221366
12,guided,4,2.109492
12,guided,5,2.047573
16,guided,1,1.651921
16,guided,2,1.676833
16,guided,3,1.705011
16,guided,4,1.645797
16,guided,5,1.641912
20,guided,1,1.805803
20,guided,2,1.722161
20,guided,3,1.722745
20,guided,4,1.738395
20,guided,5,1.783875
24,guided,1,1.958027
24,guided,2,1.803579
24,guided,3,1.814669
24,guided,4,1.806456
24,guided,5,1.707706
28,guided,1,1.797223
28,guided,2,1.837105
28,guided,3,1.742669
28,guided,4,1.849912
28,guided,5,1.870576
32,guided,1,1.884349
32,guided,2,1.863068
32,guided,3,1.954886
32,guided,4,1.911713
32,guided,5,2.014253
